mise,2023年7月14日(金)7:00～8月6日(日)23:59
タイトーステーションフェドラ大須,愛知県名古屋市中区大須3-30-31　萬松寺駐車場ビル1・2F
タイトーステーション上野御徒町,東京都台東区上野4-6-9　湯島商事ビル
タイトーステーション仙台ベガロポリス,宮城県仙台市太白区西多賀5-24-1　ベガロポリス内
タイトーステーション千歳,北海道千歳市北栄2-12-5
タイトーステーション和光,埼玉県和光市丸山台1-4-5
タイトーステーション国分寺,東京都国分寺市本町3-5-11
タイトーステーション大宮,埼玉県さいたま市大宮区大門町1-1
タイトーステーション大阪日本橋,大阪府大阪市浪速区日本橋4-9-14
タイトーステーション小田原,神奈川県小田原市栄町1-3-12
タイトーステーション広島紙屋町,広島県広島市中区紙屋町2-2-21
タイトーステーション戸塚西口,神奈川県横浜市戸塚区戸塚町4023
タイトーステーション所沢,埼玉県所沢市日吉町3-7　スカイビュウビル1・2F
タイトーステーション新宿南口ゲームワールド,東京都新宿区新宿3-35-8
タイトーステーション新宿東口,東京都新宿区新宿3-22-7　指田ビル
タイトーステーション札幌狸小路2丁目,北海道札幌市中央区南三条西2-14　ニコービル
タイトーステーション横浜西口五番街,神奈川県横浜市西区南幸1-12-9
タイトーステーション池袋西口,東京都豊島区西池袋1-15-9
タイトーステーション浅草,東京都台東区浅草1-27-5
タイトーステーション海老名ビナウォーク,神奈川県海老名市中央1-18-1　ビナウォーク6番館2F
タイトーステーション渋谷,東京都渋谷区渋谷1-24-12　渋谷東映プラザビルB1・1F
タイトーステーション町田,東京都町田市原町田6-21-23　松山ビル
タイトーステーション盛岡マッハランド,岩手県盛岡市上堂1-2-38
タイトーステーション福岡天神,福岡県福岡市中央区天神2-6-35　サザンクロスビル
タイトーステーション秋葉原,東京都千代田区外神田4-2-2　貴三ビル
タイトーステーション立川北口,東京都立川市曙町2-4-5
タイトーステーション船橋,千葉県船橋市本町1-6-1
タイトーステーション藤沢,神奈川県藤沢市南藤沢21-1
タイトーステーション錦糸町楽天地,東京都墨田区江東橋4-27-14　楽天地ビルB1F
タイトーステーション難波,大阪府大阪市中央区難波千日前15-12
ダイナソアエイジ,愛知県大府市東新町3-88
テクノワールド,岩手県奥州市江刺区愛宕字梁川127-1
テクモピア船橋南口,千葉県船橋市本町1-7-6　ドリーム船橋ビル3F
ディノスパーク北見,北海道北見市西三輪5-1-16
ディノスパーク帯広,北海道帯広市白樺十六条西2-2-5　ドリームタウン白樺内
ディノスパーク帯広稲田,北海道帯広市稲田町南8線西12-1　帯広スズランボウル内
ディノスパーク札幌手稲,北海道札幌市手稲区前田一条11　西友手稲店3F
ディノスパーク苫小牧,北海道苫小牧市柳町3-1-20　イオンモール苫小牧2F
トライセン中津,大分県中津市下池永67-3
トライセン萩原,大分県大分市萩原4-227-7　ACS3F
ドットコム葛西,東京都江戸川区中葛西3-35-5　パーラー英2F
ドラマ八王子高倉,東京都八王子市高倉町55-4
ドラマ港北インター,神奈川県横浜市都筑区東方町321-6
ドラマ瑞穂,東京都西多摩郡瑞穂町武蔵382-1
ドラマ藤沢,神奈川県藤沢市本藤沢5-6-8
ドラマ足利,栃木県足利市朝倉町244-1
ドリームキャンディー,三重県伊賀市小田町711
ドリームファクトリーいわき,福島県いわき市中央台飯野4-1
ネオ・アミューズメントスペースa-cho,京都府京都市中京区寺町通四条上る東大文字町302・303　A-breakビル2・3F
ネオ・ブラボー,山口県防府市高倉1-3-30
ハイテクランドキューデン,東京都足立区西新井栄町2-7-2　球殿2F
バイパスレジャーランド加賀,石川県加賀市箱宮町ヲ1-1
バイパスレジャーランド藤江新館,石川県金沢市藤江南2-105
パスカワールドグリーンランド,熊本県荒尾市本井手1574-54
パスカワールド宇土,熊本県宇土市善道寺町綾織95　宇土シティモール内
パルケデアミーゴ！,山形県山形市嶋北1-3-1
ビッグボウル杉戸,埼玉県北葛飾郡杉戸町杉戸2338
ビデオゲームミュージアムロボット深谷,埼玉県深谷市上柴町西4-12-1
ビバーチャ,広島県広島市中区南竹屋町10-17
ピタゴラス和歌山,和歌山県和歌山市土入73-1
ピンクパンサー下妻,茨城県下妻市小島884-10
ピンクパンサー土浦,茨城県土浦市木田余4585-3
ピンクパンサー水戸けやき台,茨城県水戸市酒門町3276-1
ピンクパンサー水戸赤塚,茨城県水戸市河和田1-1　フレスポ赤塚内
ファンタジードーム八戸,青森県八戸市江陽2-14-1　ラピア別棟
ファンタジープラザ名古屋,愛知県名古屋市北区玄馬町234-1　CROSS TOWN　ドン・キホーテ名古屋本店2F
フォルム武蔵境,東京都武蔵野市境南町2-7-20　ダイアパレス第2　1F
フタバ図書アルティランド,広島県広島市西区草津南4-7-1　アルパーク北棟2F
フレスパランドカッタの湯,山口県宇部市海南町1675
ブラックジャックアクア,広島県広島市安佐南区大町東4-12-11
ブラックジャック東広島,広島県東広島市西条町御薗宇6120
プラサカプコン吉祥寺,東京都武蔵野市吉祥寺本町1-10-1　いなりやビルB1F
プラサカプコン大分,大分県大分市公園通り西2-1　パークプレイス大分2F
プラサカプコン大曲,秋田県大仙市和合字坪立177　イオンモール大曲2F
プラサカプコン広島,広島県広島市佐伯区石内東4-1-1　ジ・アウトレット広島1F
プラサカプコン徳重,愛知県名古屋市緑区鳴海町字徳重18-44　ヒルズウォーク徳重ガーデンズ　ガーデンズ棟2F
プラサカプコン志都呂,静岡県浜松市西区志都呂2-37-1　イオンモール浜松志都呂3F
プラサカプコン成田,千葉県成田市ウイング土屋24　イオンモール成田2F
プラサカプコン新居浜,愛媛県新居浜市前田町8-8　イオンモール新居浜2F
プラサカプコン横須賀,神奈川県横須賀市若松町2-30　横須賀モアーズシティ4F
プラサカプコン甲府,山梨県中巨摩郡昭和町西条字北河原3717
プラサカプコン直方,福岡県直方市湯野原2-1-1　イオンモール直方2F
プラサカプコン石巻,宮城県石巻市茜平4-104　イオンモール石巻2F
プラサカプコン羽生,埼玉県羽生市川崎2-281-3　イオンモール羽生2F
プレイドーム松山,愛媛県松山市余戸南4-9-40　1F
プレイランドキング円町,京都府京都市中京区西ノ京西円町40
プレビトナリエ四日市,三重県四日市市安島1-3-31　トナリエ四日市5F
ベネクス川越,埼玉県川越市大仙波340-1
ポート24八事,愛知県名古屋市昭和区広路町字北石坂102-4
ポート24幸田,愛知県額田郡幸田町高力字沖原15　カメリアガーデン幸田内
ポート24浜松,静岡県浜松市西区坪井町4183-1
マキシム・ヒーロー,北海道札幌市北区北六条西6　JR高架下
マックスプラザ善通寺,香川県善通寺市中村町1798-2
マトリクス前橋,群馬県前橋市小相木町558-1
ミラクルイン中村橋,東京都練馬区貫井1-1-2　YKビル2F
ムトス相模原,神奈川県相模原市中央区中央2-1-5
メガパレス遊スペースアローズ,兵庫県神戸市西区丸塚2-9-18　ホームランスタジアムメガパレス2F
メジャーロード24,新潟県見附市今町4-20-568-1
メジャーロード白根,新潟県新潟市南区上下諏訪木字論地948-2
メジャーロード黒埼,新潟県新潟市西区山田3303
モンキートリック,大阪府寝屋川市香里南之町32-5　YNレジデンス香里2F
モンテカルロ深谷,埼玉県深谷市西島町3-1-2　スカイハイツ101
モーリーファンタジーとなみ,富山県砺波市中神1-174　イオンモールとなみ2F
モーリーファンタジークロスガーデン川崎,神奈川県川崎市幸区小倉5-19-23
モーリーファンタジー・f 岐阜,岐阜県岐阜市正木中1-2-1　マーサ21北館3F
モーリーファンタジー・f 茨木,大阪府茨木市松ケ本町8-30-5　イオン茨木SC　イオン茨木店4F
ユーズランド三光,大分県中津市三光佐知1032　イオンモール三光2F
ユーズランド下田,青森県上北郡おいらせ町中野平40-1　イオンモール下田1F
ユーズランド倉敷,岡山県倉敷市水江1　イオンモール倉敷2F
ユーズランド和歌山,和歌山県和歌山市中字楠谷573　イオンモール和歌山　モール棟2F
ユーズランド大河原,宮城県柴田郡大河原町小島2-1　フォルテくらし館2F
ユーズランド太田,群馬県太田市石原町81　イオンモール太田2F
ユーズランド日の出,東京都西多摩郡日の出町平井字三吉野桜木237-3　イオンモール日の出3F
ユーズランド春日部,埼玉県春日部市下柳420-1　イオンモール春日部2F　区画No.2037
ユーズランド東浦,愛知県知多郡東浦町緒川申新田二区67-8　イオンモール東浦2F
ユーズランド水戸内原,茨城県水戸市中原町字西135　イオンモール水戸内原2F
ユーズランド越谷,埼玉県越谷市レイクタウン4-2-2　イオンレイクタウンkaze3F
ユーズランド高岡,富山県高岡市下伏間江383　イオンモール高岡2F
ユーズランド高崎,群馬県高崎市棟高町1400　イオンモール高崎2F
ラウンドワンさいたま・上里,埼玉県児玉郡上里町金久保394-1　イオンタウン上里内
ラウンドワンさいたま・鴻巣,埼玉県鴻巣市箕田3163-7
ラウンドワンららぽーと湘南平塚,神奈川県平塚市天沼10-1　ららぽーと湘南平塚3F
ラウンドワンスタジアムさいたま・栗橋,埼玉県久喜市小右衛門192-1
ラウンドワンスタジアムみえ・川越IC,三重県三重郡川越町南福崎851-1
ラウンドワンスタジアムららぽーと新三郷,埼玉県三郷市新三郷ららシティ3-1-1　ららぽーと新三郷2F　20000番
ラウンドワンスタジアムアリオ柏,千葉県柏市大島田1-6-1　セブンパークアリオ柏　1070
ラウンドワンスタジアムダイバーシティ東京プラザ,東京都江東区青海1-1-10　ダイバーシティ東京プラザ6F　61000番
ラウンドワンスタジアム上尾,埼玉県上尾市平塚917-1
ラウンドワンスタジアム中川1号線,愛知県名古屋市中川区法蔵町2-23
ラウンドワンスタジアム京都伏見,京都府京都市伏見区下鳥羽平塚町131
ラウンドワンスタジアム佐賀,佐賀県佐賀市兵庫北4-2-1
ラウンドワンスタジアム入間,埼玉県入間市小谷田3-7-25
ラウンドワンスタジアム函館,北海道函館市西桔梗町848-11
ラウンドワンスタジアム前橋,群馬県前橋市天川大島町1101-1
ラウンドワンスタジアム千日前,大阪府大阪市中央区難波1-3-1
ラウンドワンスタジアム半田,愛知県半田市瑞穂町6-7-8
ラウンドワンスタジアム博多・半道橋,福岡県福岡市博多区半道橋2-2-8
ラウンドワンスタジアム名古屋西春,愛知県北名古屋市宇福寺神明15
ラウンドワンスタジアム城東放出,大阪府大阪市城東区今福南3-4-38
ラウンドワンスタジアム堺中央環状,大阪府堺市東区石原町2-241
ラウンドワンスタジアム堺駅前,大阪府堺市堺区戎島町4-44-3
ラウンドワンスタジアム大分,大分県大分市萩原2-13-17
ラウンドワンスタジアム宇都宮,栃木県宇都宮市江曽島町2072-1
ラウンドワンスタジアム宮崎,宮崎県宮崎市中村東3-4-60
ラウンドワンスタジアム小倉,福岡県北九州市小倉北区西港町15-65
ラウンドワンスタジアム岡山妹尾,岡山県岡山市南区妹尾3413-1
ラウンドワンスタジアム川崎大師,神奈川県川崎市川崎区殿町1-5-1
ラウンドワンスタジアム所沢,埼玉県所沢市東町5-22　TOCOTOCOSQUARE所沢6F･7F
ラウンドワンスタジアム新潟,新潟県新潟市中央区美咲町2-1-38
ラウンドワンスタジアム旭川,北海道旭川市永山三条1-4-7
ラウンドワンスタジアム朝霞,埼玉県朝霞市膝折町2-16-10
ラウンドワンスタジアム札幌・白石本通,北海道札幌市白石区本通16-北1-50
ラウンドワンスタジアム札幌北21条,北海道札幌市東区北二十一条東1-1-21
ラウンドワンスタジアム板橋,東京都板橋区相生町16-13
ラウンドワンスタジアム浜大津アーカス,滋賀県大津市浜町2-1　浜大津アーカス内
ラウンドワンスタジアム浜松,静岡県浜松市東区天王町字諏訪1981-17
ラウンドワンスタジアム熊本,熊本県熊本市西区春日7-25-15
ラウンドワンスタジアム盛岡,岩手県盛岡市盛岡駅西通2-10-35
ラウンドワンスタジアム福島,福島県福島市太田町14-18
ラウンドワンスタジアム秋田,秋田県秋田市卸町1-1-2
ラウンドワンスタジアム豊橋,愛知県豊橋市大岩町字岩田27-2
ラウンドワンスタジアム郡山,福島県郡山市向河原町4-55
ラウンドワンスタジアム金沢,石川県金沢市横川6-120-1
ラウンドワンスタジアム長野,長野県長野市東和田827-6
ラウンドワンスタジアム高松,香川県高松市松島町2-7-43
ラウンドワンスタジアム高槻,大阪府高槻市辻子3-6-4
ラウンドワンスタジアム鹿児島宇宿,鹿児島県鹿児島市宇宿2-2-2
ラウンドワンモレラ岐阜,岐阜県本巣市三橋1100　モレラ岐阜2Fスノープラザ
ラウンドワン京都河原町,京都府京都市中京区河原町通三条下る山崎町250
ラウンドワン仙台苦竹,宮城県仙台市宮城野区苦竹1-7-10
ラウンドワン加古川,兵庫県加古川市尾上町安田325-6
ラウンドワン千種,愛知県名古屋市千種区新栄3-20-17　タイホウ千種駅南ビル8F
ラウンドワン南砂,東京都江東区南砂6-7-15　南砂町SCトピレックプラザ4F
ラウンドワン吉祥寺,東京都武蔵野市吉祥寺本町1-11-22
ラウンドワン大野城,福岡県大野城市御笠川1-18-16
ラウンドワン姫路飾磨,兵庫県姫路市飾磨区中島1-254
ラウンドワン守口,大阪府守口市佐太東町2-6-14　ジャガーグリーン2F
ラウンドワン富士,静岡県富士市八代町4-15
ラウンドワン山梨・石和,山梨県笛吹市石和町広瀬737-1
ラウンドワン岸和田,大阪府岸和田市八阪町2-11-1
ラウンドワン市原,千葉県市原市八幡北町3-5-1
ラウンドワン市川鬼高,千葉県市川市鬼高4-1-3
ラウンドワン広島,広島県広島市中区立町3-11
ラウンドワン府中本町駅前,東京都府中市本町1-13-3　カネタビル
ラウンドワン徳島・万代,徳島県徳島市万代町4-19-1
ラウンドワン札幌すすきの,北海道札幌市中央区南五条西3-6-1
ラウンドワン東大阪,大阪府東大阪市若江南町1-2-12
ラウンドワン梅田,大阪府大阪市北区小松原町4-16
ラウンドワン横浜駅西口,神奈川県横浜市西区南幸2-8-16
ラウンドワン武蔵村山,東京都武蔵村山市伊奈平3-1-1
ラウンドワン池袋,東京都豊島区東池袋1-14-1　池袋スクエア内
ラウンドワン沖縄・南風原,沖縄県島尻郡南風原町兼城552
ラウンドワン津・高茶屋,三重県津市高茶屋小森町277-8
ラウンドワン町田,東京都町田市森野1-13-14
ラウンドワン福山,広島県福山市明神町1-9-28
ラウンドワン福岡天神,福岡県福岡市中央区天神2-6-12
ラウンドワン草加,埼玉県草加市谷塚上町204-1
ラウンドワン豊中,大阪府豊中市名神口1-1-1
ラウンドワン青森,青森県青森市浜田3-1-1
ラウンドワン静岡・駿河,静岡県静岡市駿河区手越75
ラウンドワン高津,神奈川県川崎市高津区二子4-8-1
ラウンドワン高知,高知県高知市南宝永町4-12
ラウンドワン鳴海,愛知県名古屋市緑区鳴海町字杜若28
三重県ゲームチャオ松阪,三重県松阪市船江町780
上越レジャーランボウル,新潟県上越市下門前827-2
佐原ミナミボウル,千葉県香取市佐原イ4200　佐原ミナミボウルゲームコーナー
佐賀県楽市楽座303佐賀大和,佐賀県佐賀市大和町尼寺2965
兵庫県ラウンドワン三宮駅前,兵庫県神戸市中央区小野柄通6-1-17
千葉レジャーランド成東,千葉県山武市姫島111-1
千葉レジャーランド稲毛,千葉県千葉市稲毛区小仲台2-5-7　海宝ビル2・3F
千葉レジャーランド野田,千葉県野田市吉春776-1
千葉県タイトーステーション柏,千葉県柏市柏2-3-1　フーサワビル
半田メトロポリス,愛知県半田市旭町3-11-1
名古屋レジャーランド内田橋,愛知県名古屋市南区内田橋2-26-22
和歌山県ラウンドワンスタジアム和歌山,和歌山県和歌山市小雑賀739-3
埼玉レジャーランド大宮ラクーン,埼玉県さいたま市大宮区宮町1-60　大宮ラクーン5F
埼玉レジャーランド春日部,埼玉県春日部市増富字谷際163-1
埼玉県GiGO 川口,埼玉県川口市東領家2-2-10
大分県GiGO 高城,大分県大分市牧1-161-8
大垣メトロポリス,岐阜県大垣市三塚町字西沼523-1
大田原スポーツランド,栃木県那須塩原市一区町104-60
大阪府GiGO 布施,大阪府東大阪市長堂1-1-1　ロンモール布施内
奈良県ラウンドワンスタジアム奈良ミ・ナーラ,奈良県奈良市二条大路南1-3-1　ミ・ナーラ5F
宮城県タイトーステーション仙台名掛丁,宮城県仙台市青葉区中央1-7-13
宮崎県namco日向,宮崎県日向市日知屋14798-1　ハイパーモールメルクス日向1F
宮西スタジアムII,愛媛県松山市宮西2-4-41
富山県トヤマレジャーランド呉羽,富山県富山市高木字貝塚2054
小牧メトロポリス,愛知県小牧市間々片山181-1
小田原メトロポリス,神奈川県小田原市前川219-4
山口県ゲームスポットSPEED,山口県周南市久米3219
山形県GiGO 北山形,山形県山形市北町1-3-20
山梨県ゲームパニック甲府,山梨県甲府市国母5-20-24
岐阜県岐阜レジャーランド穂積,岐阜県瑞穂市稲里630
岡山県アミパラテクノランド,岡山県岡山市北区大和町1-7-12
岩手県GiGO 水沢,岩手県奥州市水沢区佐倉河字鐙田4-1
島根県G-pala 出雲,島根県出雲市渡橋町784-1
広島県タイトーステーション広島本通,広島県広島市中区本通3-5　せらかぐ本通ビル
徳島県アポロゲームセンター沖洲,徳島県徳島市南沖洲1-93-1
愛媛県グラントシティMG innキスケ,愛媛県松山市宮田町4　キスケボックス内1F
愛知県GiGO 春日井,愛知県春日井市岩野町4180
新宿スポーツランド本館,東京都新宿区新宿3-22-12
新潟県カプコサーカス新潟東,新潟県新潟市東区大形本町3-1-2　イオン新潟東店内ゲームコーナー
星狩物語岸和田,大阪府岸和田市作才町1-3-2
本八幡ゲームUNO,千葉県市川市八幡2-16-6　八幡旗ビルB1F
東京レジャーランド亀有,東京都葛飾区亀有3-21-2
東京レジャーランド吉祥寺,東京都武蔵野市吉祥寺本町1-3-7　YSビルB1～4F
東京レジャーランド秋葉原,東京都千代田区外神田1-9-5
東京レジャーランド秋葉原2号,東京都千代田区外神田4-3-3　ミナミビル6・7F
柏ヤングボウル,千葉県柏市南柏中央11-1
栃木県シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町7-3
楽市楽座003楽市街道箱崎,福岡県福岡市東区箱崎5-1-8　楽市街道箱崎2・3F
楽市楽座022楽市街道名古屋,愛知県北名古屋市中之郷字神明45-1
楽市楽座イオンモール宮崎,宮崎県宮崎市新別府町江口862-1　イオンモール宮崎2F
楽市楽座サンストリート浜北,静岡県浜松市浜北区平口2861　サンストリート浜北2F
楽市楽座湘南藤沢,神奈川県藤沢市辻堂新町4-3-5　MrMax湘南藤沢SC2F
楽市楽座砂津,福岡県北九州市小倉北区砂津3-1-1　チャチャタウン小倉B棟3F
楽市楽座福重,福岡県福岡市西区石丸4-263-1
楽市楽座行橋,福岡県行橋市西泉6-1-1　コスタ行橋アミューズ棟2F
楽市街道くるめ,福岡県久留米市新合川2-7-10　久留米アミューズメントビル内
沖縄県ラウンドワンスタジアム沖縄・宜野湾,沖縄県宜野湾市真志喜3-28-8
泉大津フタバボウル,大阪府泉大津市松之浜町1-2-53
滋賀レジャーランド大津,滋賀県大津市におの浜3-1-43
滋賀県GiGO 甲西,滋賀県湖南市夏見二ツ橋356-1
熊本県namcoワンダーシティ南熊本,熊本県熊本市中央区九品寺6-9-1
石川県バイパスレジャーランド藤江本館,石川県金沢市藤江南2-41
神奈川レジャーランド厚木,神奈川県厚木市戸室5-31-1　アツギ・トレリス2F
神奈川県アドアーズ大和店A館,神奈川県大和市大和東1-4-3　大黒屋ビル1・2F
福井レジャーランド板垣,福井県福井市下馬3-112
福井県フクイレジャーランドワイプラザ,福井県福井市新保北1-303　パワーシティフクイワイプラザB棟2F
福岡県楽市楽座210トリアス,福岡県糟屋郡久山町山田990
福島県スーパーノバ福島,福島県福島市黒岩字中島7-2
秋田県GiGO 秋田,秋田県秋田市茨島1-1-16
群馬レジャーランド伊勢崎,群馬県伊勢崎市連取町3066-1
群馬レジャーランド太田,群馬県太田市西矢島町162-2
群馬レジャーランド渋川,群馬県渋川市八木原1364
群馬レジャーランド藤岡,群馬県藤岡市中2002-1
群馬レジャーランド高崎駅東口,群馬県高崎市江木町333-1　高崎EXビルB1・2F
群馬県THE 3RD PLANET 高崎,群馬県高崎市下和田町5-3-8　メディアメガ高崎店内
茨城県GAME PADDOCK +1 古河本店,茨城県古河市小堤1916-1
西日暮里 GAME SPOT VERSUS,東京都荒川区西日暮里5-15-10　今井ビル3F
豊川メトロポリス,愛知県豊川市下長山町上アライ14-1
遊スペーススプラ,兵庫県加古川市尾上町安田351-1　ホームランスタジアムメガコート2F
遊スペースマジカル,兵庫県神戸市中央区琴ノ緒町5-2-3
遊道楽嘉瀬,佐賀県佐賀市嘉瀬町中原2488-1
遊道楽新合川,福岡県久留米市新合川1-6-7　2F
遊道楽時津,長崎県西彼杵郡時津町元村郷863-10
長崎県GiGO 諫早,長崎県諫早市小川町90-1
長野県GiGO 上田,長野県上田市上田1847-1
関大前フタバボウル,大阪府吹田市千里山東1-7-18
青森県ゲームフェスタミタマ,青森県弘前市駅前町5-5
静岡県THE 3RD PLANET OZ浜松,静岡県浜松市東区宮竹町322-1
香川県GiGO 高松,香川県高松市勅使町535
高知県プラサカプコン高知,高知県高知市秦南町1-4-8　イオンモール高知2F
鳥取県GiGO 米子,鳥取県米子市両三柳2778-2
鹿児島県サンゲームス天文館,鹿児島県鹿児島市千日町5-6
