m,b,第4弾「CHUNITHM オリジナルグッズプレゼントキャンペーン」参加店舗一覧2020年6月25日(木) ～9月2日(水)
ソユーゲームフィールド旭川駅前,北海道旭川市宮下通7-2-5イオンモール旭川駅前4F
シルクハット 蒲田西口,東京都大田区西蒲田7-2-3 第二醍醐ビル地下1階~2階
アドアーズ蒲田西口B館,東京都大田区西蒲田7-5-10蒲田駅西口会館1階
SOYU ZAURUS WORLD 大森,東京都大田区大森北2-13-1イトーヨーカドー大森店3F
ハイテクランドセガ池上,東京都大田区池上6-2-3松山ビル2F
タイトーステーションBIGFUN平和島,東京都大田区平和島1丁目1-1BIGFUN平和島
アドアーズ中野,東京都中野区中野5-52-15ブロードウェイ185
namco中野,東京都中野区中野5-52-15中野ブロードウェイ別館
セガ町田,東京都町田市原町田6-13-17アーバンミサワビルB1
タイトーステーション 町田,東京都町田市原町田6-21-23 松山ビル1階
アドアーズ町田,東京都町田市原町田6-21-25大正堂第2ビル1-4F
ラウンドワン町田,東京都町田市森野1-13-14
セガ南町田GBPシアター,東京都町田市鶴間3-4-1ワンダーシアター1階H103区画
アドアーズ仙川,東京都調布市仙川町2-21-7VICビル7
アミューズランドモナコ調布駅前,東京都調布市布田4-2-22
セガワールド東大和,東京都東大和市桜が丘1-1330-19BIGBOX東大和1F
YAZワールド八王子みなみ野,東京都八王子市みなみ野1-2-1アクロスモール3F
シルクハット 八王子,東京都八王子市旭町2-5 八王子ツインタワービル3階
ソユープレイランドソピア八王子,東京都八王子市狭間町1462-1イトーヨーカドー八王子店3F
ドラマ八王子高倉,東京都八王子市高倉町55-4
アドアーズ八王子,東京都八王子市東町11-3センチュリーSTビル
ゲームプラザセントラル八王子,東京都八王子市東町12-15第5セントラル
タイトーFステーション南大沢,東京都八王子市南大沢2-3Fab南大沢2F
ゲームシティ板橋,東京都板橋区小茂根1-32-9
8GAMES 上板橋,東京都板橋区常盤台4-33-15
ラウンドワン板橋,東京都板橋区相生町16-13
ゲームサファリ大山,東京都板橋区大山東町60-10やすだ大山駅前店2F
アピナS武蔵小山,東京都品川区小山3-23-3SDビルB1F
アムネット五反田,東京都品川区西五反田1-27-5
セガワールド府中,東京都府中市西原町1-6-2フレスポ府中1F・2F
ラウンドワン府中本町駅前,東京都府中市本町1-13-3カネタビル
ラウンドワン武蔵村山,東京都武蔵村山市伊奈平3-1-1
セガイオンモールむさし村山,東京都武蔵村山市榎1-1-3-2059
プラサカプコン吉祥寺,東京都武蔵野市吉祥寺本町1-10-1いなりやビルB1F
ラウンドワン吉祥寺,東京都武蔵野市吉祥寺本町1-11-22
プレイロットジョイ,東京都武蔵野市吉祥寺本町1-8-23
フォルム武蔵境,東京都武蔵野市境南町2-7-20ダイヤパレス第2 1階
セガワールド福生,東京都福生市福生1076-1
セガ東京ドームシティ,東京都文京区後楽1-3-61
タイトーステーション 池袋西口,東京都豊島区西池袋1-15-9第一西池ビル
namco巣鴨,東京都豊島区巣鴨1-15-1ミヤタビルB1F・B2F
ラウンドワン池袋,東京都豊島区東池袋1-14-1
プラサカプコン池袋,東京都豊島区東池袋1-201-1キュープラザ3階
セガ池袋GiGO,東京都豊島区東池袋1-21-1
namco池袋,東京都豊島区東池袋1−22−10 HUMAXパビリオンB1F
AM サントロペ 池袋,東京都豊島区東池袋1-29サントロペビル2F
namco王子サンスクエア,東京都北区王子1-4-1サンスクエア2階
セガ赤羽駅前,東京都北区赤羽1-2-4
セガ赤羽,東京都北区赤羽1-7-9赤羽第一葉山ビルB1
タイトーステーション 錦糸町楽天地,東京都墨田区江東橋4-27-14楽天地ビルB1F
タイトーFステーションオリナス錦糸町,東京都墨田区太平4-1-2オリナスモール地下1F
クラブセガ自由が丘,東京都目黒区自由が丘2-10-9
クラブセガ立川,東京都立川市柴崎町3-2-1グランデュオビル1.2F
アミューズランドモナコ立川,東京都立川市柴崎町3-4-1カワイヤビル
アドアーズ立川,東京都立川市柴崎町3-4-3TE柴崎ビルB1~3F
タイトーステーション立川北口,東京都立川市曙町2-4-5クリサス立川2・3F
ゲームセンターＷＩＬＬ　ＷＧＣ,東京都立川市羽衣町2-4-13　羽衣長田ビル101WGC
ミラクルイン中村橋,東京都練馬区貫井1-1-2YKビル2F
アミュージアムOSC,東京都練馬区東大泉2-34-1オズスタジオシティ2F
プラサカプコン横須賀,神奈川県横須賀市若松町2-30モアーズシティ4F
パラダイス・シティ,神奈川県横浜市旭区二俣川1-43-28
クラブセガ新杉田,神奈川県横浜市磯子区杉田1-1-1らびすた新杉田2F
ゲームコスモ金沢文庫,神奈川県横浜市金沢区谷津町344
ラウンドワン横浜戸塚,神奈川県横浜市戸塚区影取町1759-5
タイトーステーション 戸塚西口,神奈川県横浜市戸塚区戸塚4023
アミューズメントパークジアス上大岡,神奈川県横浜市港南区上大岡西2-1-28
クラブセガ綱島,神奈川県横浜市港北区綱島西2-6-29
アミューズメントパークジアス新横浜,神奈川県横浜市港北区新横浜2-1-19
ラウンドワン横浜綱島,神奈川県横浜市港北区樽町2-6-40T-PLATZ内
イミグランデ日吉3,神奈川県横浜市港北区日吉2-4-2
タイトーステーション 横浜西口五番街,神奈川県横浜市西区南幸1-12ー9
ラウンドワン横浜駅西口,神奈川県横浜市西区南幸2-8-16
AMサントロペ伊勢佐木町,神奈川県横浜市中区伊勢佐木町3-96 日活会館3階
ナムコ横浜ワールドポーターズ,神奈川県横浜市中区新港2-2-1横浜ワールドポーターズ5F
ゲームコスモ鶴見,神奈川県横浜市鶴見区豊岡町17-4
セガセンター南,神奈川県横浜市都筑区茅ヶ崎中央3-25
THE 3RD PLANET 横浜本店,神奈川県横浜市都筑区中川中央1-25-1 NPモール6F
ネバーランド港北,神奈川県横浜市都筑区中川中央1-36-16
ドラマ港北インター,神奈川県横浜市都筑区東方町321-6
タイトーステーション海老名ビナウォーク,神奈川県海老名市中央1-18-1 ビナウォーク6番館2F
セガ海老名,神奈川県海老名市中央一丁目4番31号海老名プラザビル1階
AM PIA 大船,神奈川県鎌倉市大船1-24 大船駅前ビル1~3F
神奈川レジャーランド厚木,神奈川県厚木市戸室5-31-1
シルクハット本厚木,神奈川県厚木市中町2-4-13 本厚木駅前ビル
イミグランデ本厚木,神奈川県厚木市中町3-2-1
パームトップス,神奈川県厚木市中町4-15-9
ミリアンパーク厚木,神奈川県厚木市田村町9-25
ネバーランド2座間,神奈川県座間市ひばりが丘4-11-48
タイトーステーション 小田原,神奈川県小田原市栄町1-3-12
タイトー小田原シティーモール,神奈川県小田原市前川120 フレスポ小田原シティーモール2F
セガ小田原ダイナシティ,神奈川県小田原市中里296-1 ダイナシティイーストモール3F
プレイアイシー東海大学前,神奈川県秦野市南矢名1-15-1
YAZ川崎,神奈川県川崎市幸区小倉5-19-23クロスガーデン川崎1F
namcoラゾーナ川崎,神奈川県川崎市幸区堀川町72-1ラゾーナ川崎プラザ4階
タイトーステーション溝の口,神奈川県川崎市高津区溝口1-11-8OKKA634ビル3階
イミグランデ溝口,神奈川県川崎市高津区溝口1-14-7 第二カスタムビル
ラウンドワン高津,神奈川県川崎市高津区二子4-8-1
AM PIA 川崎モアーズ,神奈川県川崎市川崎区駅前本町7番地 岡田屋モアーズ1・2階
シルクハット 川崎ダイス,神奈川県川崎市川崎区駅前本町8番地ダイスビル地下2階
プレイランド川崎,神奈川県川崎市川崎区小田栄2-2-1-3F
ラウンドワン川崎大師,神奈川県川崎市川崎区殿町1-5-1
タイトーFステーション向ヶ丘遊園,神奈川県川崎市多摩区登戸2718-1
テクモピア向ヶ丘遊園,神奈川県川崎市多摩区登戸2755ミノワホームズ1F
ジョイランド中原,神奈川県川崎市中原区上小田中6-19-6
ムトス相模原,神奈川県相模原市中央区中央2-1-5
セガイト―ヨーカドー古淵,神奈川県相模原市南区古淵3-13-33 イトーヨーカドー3F
クラブセガ相模大野,神奈川県相模原市南区相模大野3-13-2 東和ビル2F・3F
アドアーズ橋本,神奈川県相模原市緑区橋本3-3-1SINGビル2F
アピナ橋本,神奈川県相模原市緑区西橋本5-1-1ラ・フロール駐車場棟1階
プレビ　アリオ橋本店,神奈川県相模原市緑区大山町1-22　アリオ橋本2F
アドアーズ大和A館,神奈川県大和市大和東1-4-3大黒屋ビル1､2階
イミグランデ大和,神奈川県大和市鶴間2-12-27
ゲームインファンファン藤沢,神奈川県藤沢市鵠沼石上1-3-8
SOYU GAME FIELD湘南,神奈川県藤沢市辻堂新町4-1-1湘南モールFILL2F
楽市楽座湘南藤沢,神奈川県藤沢市辻堂新町4-3-5ミスターマックス湘南藤沢SC2F
アドアーズ藤沢北口,神奈川県藤沢市藤沢460-1 3-4F
タイトーステーション 藤沢,神奈川県藤沢市南藤沢21-1
ドラマ藤沢,神奈川県藤沢市本藤沢5-6-8
ゲームファンタジア平塚,神奈川県平塚市紅谷町14-21
ラウンドワンららぽーと湘南平塚,神奈川県平塚市天沼10-13階 33280番
アミューズメントランドYAZ平塚,神奈川県平塚市田村1-4-26
タイトーFステーション 燕三条,新潟県燕市井土巻3-150イオン県央店アメニティ棟1F
アピナ上越インター,新潟県上越市下門前1661
上越レジャーランボウル,新潟県上越市下門前薬島827-2
タイトーFステーション上越,新潟県上越市富岡3524 J-MAXシアター内1F
プレイハウス エリナ,新潟県新潟市西蒲区津雲田640
メジャーロード黒埼,新潟県新潟市西区山田3303番地(3302番地)
namco新潟,新潟県新潟市中央区南笹口1-1-1 ひもろぎビル2F
ラウンドワン新潟,新潟県新潟市中央区美咲町2-1-38
カプコサーカス新潟東,新潟県新潟市東区大形本町3-1-2 ジャスコシティ新潟東
ソユーゲームフィールド新発田,新潟県新発田市住吉町5丁目11番5号 イオンモール新発田2F
アピナ長岡,新潟県長岡市堺東町22
スターフィールド,新潟県長岡市新組町2003番地1
ゲームセンターテクノポリス,新潟県長岡市要町1-8-50
ゲームスポットアップル魚津店,富山県魚津市吉島2-407-1
サービスエリアIN高岡,富山県高岡市下石瀬857-1
セガイオンモール高岡,富山県高岡市下伏間383 イオンモール高岡2F2001A区画
ユーズランド高岡,富山県高岡市下伏間江383イオンモール高岡2F
ゲームスポット306,富山県高岡市昭和町2-267-5
ゲームスポット207,富山県高岡市鐘紡町1655-3
プレイランドイン黒部,富山県黒部市沓掛645
ユーズランドとなみ,富山県砺波市中神1-174イオンモールとなみ2F-205
キッズサーカス五福,富山県富山市五福1143-1
アピナ富山新庄,富山県富山市荒川3-2-12
トヤマレジャーランド呉羽,富山県富山市高木字貝塚2054
アピナ富山豊田,富山県富山市豊田町2丁目12-66
アピナ富山南,富山県富山市堀川町355-3 マイプラザ内
バイパスレジャーランド宇ノ気,石川県かほく市森子85
バイパスレジャーランド加賀,石川県加賀市箱宮町ヲ1-1
ラウンドワン金沢,石川県金沢市横川6-120-1
セガイオンタウン金沢示野,石川県金沢市戸板西2-1
セガアルプラザ金沢,石川県金沢市諸江町30-1
バイパスレジャーランド藤江新館,石川県金沢市藤江南2-105
タイトーステーション 金沢,石川県金沢市片町2-1-7宇都宮片町ビル
ゲーム・パラダイス,石川県金沢市堀川新町5-1アミューズメントスクエア3F
金沢メトロポリス,石川県金沢市無量寺4-121-1
楽市楽座イオンモール新小松,石川県小松市清六町315イオンモール新小松店2F
アピナ野々市バッティングスタジアム,石川県野々市市若松町5-5
アピナ野々市,石川県野々市市白山町4-1イオンタウン野々市店内
セガワールド武生,福井県越前市新町3-13-4
アル・プラザボウル鯖江,福井県鯖江市下河端町16字下町6-1
ジョイランド鯖江,福井県鯖江市宮前1-614-1
JOYLAND敦賀,福井県敦賀市木崎40号土三田12番
福井レジャーランド板垣,福井県福井市下馬3-102
セガ福井,福井県福井市丸山1-410
フクイレジャーランドワイプラザ,福井県福井市新保北1-303 ヤスサキワイプラザB棟2F
ジョイランド大和田,福井県福井市大和田町2-1002
スタジオプリモ甲府,山梨県甲府市丸の内1-16-20 ココリ2F
ゲームパニック甲府,山梨県甲府市国母5-20-24
プラサカプコン甲府,山梨県中巨摩郡昭和町西条字北河原3717
楽市楽座イオンモール甲府,山梨県中巨摩郡昭和町飯喰1505-1イオンモール2011
ラウンドワン山梨・石和,山梨県笛吹市石和町広瀬737-1
プレイタウンパル富士吉田,山梨県富士吉田市新西原4-1545-1
アピナ穂高,長野県安曇野市穂高2450
セガワールド豊科,長野県安曇野市豊科南穂高1115
アピナ伊那,長野県伊那市大字西町5093
アピナ塩尻,長野県塩尻市広丘野村1794-1
ゲームゾーン岡谷,長野県岡谷市中央町2-2-1イルプラザ1F
セガ岡谷,長野県岡谷市塚間町2-1-21
アピナ佐久インター,長野県佐久市岩村田北1-13-1
namcoイオンモール佐久平,長野県佐久市佐久平駅南11-10イオンモール佐久平2階
セガ松本,長野県松本市渚1-7-1なぎさライフサイト内
namcoアルピコプラザ松本,長野県松本市深志1-2-30アルピコプラザ内6F
アピナ松本,長野県松本市双葉19-10
楽市楽座イオンモール松本,長野県松本市中央四丁目9番51号
タイトーFステーション松本,長野県松本市平田東1-27-1
アピナ上田,長野県上田市秋和359-1
セガ上田,長野県上田市大字上田1847-1
ソユーゲームフィールド長野,長野県長野市三輪９－４３－２４イオンタウン長野三輪店
アピナ長野大橋,長野県長野市若里7-9-12
アピナ長野川中島,長野県長野市川中島町御厨967-1
アピナ長野村山,長野県長野市村山502-1
THE 3RD PLANET 長野大通り,長野県長野市大字鶴賀権堂町1506-3長電権堂第2ビル1F
ラウンドワン長野,長野県長野市大字東和田827番地6
ドルフィン長野駅前,長野県長野市大字南長野南石堂町1367-5
アピナ飯田,長野県飯田市座光寺3728-1
GAMEタカラ島 可児,岐阜県可児市広見字古川2519ー12
ゲームゾーン各務原,岐阜県各務原市鵜沼各務原町5-286 ペタルビル1F
namcoイオンモール各務原,岐阜県各務原市那加萱場町3-8イオンモール各務原店2F
セガマーゴ関,岐阜県関市倉知516
A.C.グランド,岐阜県岐阜市茜部大川1-77
namcoカラフルタウン岐阜,岐阜県岐阜市柳津町丸野3-3-6カラフルタウン岐阜内
セガワールド高山,岐阜県高山市上岡本町7-7
岐阜レジャーランド穂積,岐阜県瑞穂市稲里630番地
セガ多治見,岐阜県多治見市住吉町1-1-1
namcoイオンモール大垣,岐阜県大垣市外野2丁目100イオンモール大垣2階
大垣メトロポリス,岐阜県大垣市三塚町西沼523-1
ゲームハウスアリババ,岐阜県大垣市池尻町940-1
セガワールドアクアウォーク大垣,岐阜県大垣市林町6-80-21アクアウォーク大垣2F
ラウンドワンモレラ岐阜,岐阜県本巣市三橋1100
セガ掛川,静岡県掛川市細田248
シートピアYAZ大須賀,静岡県掛川市西大渕3359
ジョイランドアミューズみしま,静岡県三島市梅名308-6
セガサントムーン柿田川,静岡県駿東郡清水町玉川61-2サントムーン柿田川2F
沼津バッティングスタジアム,静岡県沼津市岡一色19-2
THE 3RD PLANET BiVi沼津,静岡県沼津市大手町1-1-5
スタジオプリモ沼津,静岡県沼津市大手町3-4-1沼津ラクーン5F
ジョイランドアミューズ諏訪,静岡県沼津市大諏訪20-2
アミューズメントワールドららぽーと沼津,静岡県沼津市東椎路字東荒301-3他3階33020コロナワールド
アップルグランリバー大井川,静岡県焼津市下江留1327
シートピアYAZ焼津,静岡県焼津市道原585
THE 3RD PLANET 焼津,静岡県焼津市八楠3-18-5
アップル新北街道,静岡県静岡市葵区沓谷5-13-4
タイトーFステーション静岡,静岡県静岡市葵区呉服町2-5-4 ふしみや第2ビル
ラウンドワン静岡・駿河,静岡県静岡市駿河区手越75
ソユー竜宮タウン静岡,静岡県静岡市駿河区石田1-5-1アピタ静岡SC2F
THE 3RD PLANET 静岡インター,静岡県静岡市駿河区中野新田383-3
セガベイドリーム清水,静岡県静岡市清水区駒越北8-1ベイドリーム清水2F
THE 3RD PLANET フレスポ静岡,静岡県静岡市清水区鳥坂860
セガ袋井,静岡県袋井市川井1142-1
THE 3RD PLANET 島田,静岡県島田市中溝町2531
アップル島田,静岡県島田市宝来町8-5
YAZ磐田,静岡県磐田市西貝塚横須賀道北3690イオンタウン磐田内
プラサカプコン志都呂,静岡県浜松市西区志都呂町二丁目37番1号 イオンモール浜松志都呂3F
ポート24浜松,静岡県浜松市西区坪井町4183-1
YAZワールド浜松葵,静岡県浜松市中区葵西2-27-10
タイトーステーション浜松,静岡県浜松市中区肴町322-20松竹ビル
THE 3RD PLANET OZ浜松,静岡県浜松市東区宮竹町322-1
ラウンドワン浜松,静岡県浜松市東区天王町諏訪1981-17
楽市楽座サンストリート浜北,静岡県浜松市浜北区平口2861サンストリート浜北
ゲームオフ富士宮,静岡県富士宮市三園平1360
タイトーFステーションイオン富士宮,静岡県富士宮市浅間町1-8
THE 3RD PLANET 富士,静岡県富士市永田町2-99
ラウンドワン富士,静岡県富士市八代町4-15
セガ安城,愛知県安城市百石町2-35-13
安城メトロポリス,愛知県安城市浜富町6-8
ゲームゾーン一宮,愛知県一宮市羽衣2-5-1
セガイオンモール木曽川,愛知県一宮市木曽川町黒田八ヶ池25-1 イオンモール木曽川3F
セガ尾西,愛知県一宮市篭屋3-9-7アソビックスびさい1F
ADXマミー岡崎,愛知県岡崎市井田新町6-1
ゲームファンタジアン岡崎,愛知県岡崎市錦町2-4
ゲームランド岡崎,愛知県岡崎市戸崎町字外山38-5イオンモール岡崎 シネコン棟
セガ岡崎,愛知県岡崎市上地3-50-4
ポート24幸田,愛知県額田郡幸田町相見沖原1-3
ゲームファンタジアン蒲郡,愛知県蒲郡市竹谷町中野1-12
M’s PARK刈谷,愛知県刈谷市稲場町3-206
アミューズメントプラザ マルシン,愛知県刈谷市池田町4-609
セガイオンタウン刈谷,愛知県刈谷市東境町京和1
セガ春日井,愛知県春日井市岩野町4180
オークランドボウル春日井,愛知県春日井市鳥居松町3-11 1階ゲームコーナー
スイーツ・ハートイオン春日井,愛知県春日井市柏井町4-17
小牧メトロポリス,愛知県小牧市間々片山181
M’s PARK小牧,愛知県小牧市大字村中字稲荷783
パラボランド小牧,愛知県小牧市東1-126 イオン小牧店2F
アミューズファクトリー常滑,愛知県常滑市りんくう町2-20-3イオンモール常滑2F
セガ東名ボール,愛知県瀬戸市西原町2-114
ナムコランドヒーローズキャンプ名古屋,愛知県西春日井郡豊山町大字豊場字林先1-8エアポートウォーク名古屋3F
カーニバル・C・ドーム,愛知県西尾市上町南又七山31番
ゲームファンタジーランドダイナソア,愛知県大府市東新町3-87
楽市楽座イオンモール扶桑,愛知県丹羽郡扶桑町南山名高塚5番地イオンモール扶桑2階
セガワールド知立,愛知県知立市長篠町大山18-1ギャラリエアピタ1F
namcoイオンモール長久手,愛知県長久手市長久手中央土地区画整理事業地内5.10.11街区イオン3F
ゲームファンタジアン長久手,愛知県長久手市武蔵塚705
バッティングセンター甲子園,愛知県津島市寺野町字五反田43
アミュージアム津島,愛知県津島市大字津島字北新開351番地ヨシヅヤ津島本店シネマ館2F
アミューズメントプラザワイド,愛知県東海市名和町二番割上16-2
コムテックプラザ赤池,愛知県日進市赤池1-2901
セガプライムツリー赤池,愛知県日進市赤池町箕ノ手1番
半田メトロポリス,愛知県半田市旭町3-11-1
ラウンドワン半田,愛知県半田市瑞穂町6-7-8
M’s PARK三郷西館,愛知県尾張旭市南原山町赤土207
La・Fiesta,愛知県豊橋市広小路1-6-2フェイス豊橋ビルB1
ラウンドワン豊橋,愛知県豊橋市大岩町字岩田27-2
タイトーステーション 豊橋,愛知県豊橋市藤沢町141-4アミューズメントビル1F
セガ飯村,愛知県豊橋市飯村町字西山25-121
豊川メトロポリス,愛知県豊川市下長山町上アライ14-1
WAVE豊川白鳥,愛知県豊川市白鳥町京次55-1
タイトーキッズランドGAZA,愛知県豊田市喜多町1-140GAZA3階
M’s PARK豊田,愛知県豊田市寿町3-21､22
セガ豊田,愛知県豊田市深田町1-65-1
ラウンドワン名古屋西春,愛知県北名古屋市宇福寺神明15
楽市街道 名古屋,愛知県北名古屋市中之郷新明45-1
namcoららぽーと名古屋みなとアクルス,愛知県名古屋市港区港明2-3-2ららぽーと名古屋港明3F
楽市楽座イオンモール名古屋茶屋,愛知県名古屋市港区西茶屋2-11イオンモール名古屋茶屋3階
ポート24八事,愛知県名古屋市昭和区広路町北石坂102番地4
セガイオンタウン名西,愛知県名古屋市西区香呑町6-49-1イオンタウン名西2F
セガmozoワンダーシティ上小田井,愛知県名古屋市西区二方町40
GREA,愛知県名古屋市千種区今池5-22-17
ラウンドワン千種,愛知県名古屋市千種区新栄3-20-17タイホウ千種駅前南ビル8階
ゲーム キングジョイ,愛知県名古屋市中区栄3-3-32
コムテックスクウェア,愛知県名古屋市中区金山1-16-8
タイトーステーション 大須,愛知県名古屋市中区大須3-20-7
タイトーステーションフェドラ大須,愛知県名古屋市中区大須3-30-31
中川メトロポリス,愛知県名古屋市中川区江松3丁目110番地
VAMP中川,愛知県名古屋市中川区新家1-2007
ラウンドワン中川1号線,愛知県名古屋市中川区法蔵町2-23
namco名古屋駅前,愛知県名古屋市中村区椿町6-6ニッセイ名古屋西ビル別館B1
セガマーケットスクエアささしま,愛知県名古屋市中村区平池町4丁目60番地14号
コムテックタワー,愛知県名古屋市中村区名駅4-10-20
namcoイオンモールナゴヤドーム前,愛知県名古屋市東区矢田南4丁目102-3イオンモールナゴヤドーム前SC3F
名古屋レジャーランド内田橋,愛知県名古屋市南区内田橋2-26-22
セガ金山,愛知県名古屋市熱田区金山1-19-2
ファンタジープラザ名古屋,愛知県名古屋市北区玄馬町234-1ドンキホーテ名古屋本店2階
名古屋レジャーランド大高,愛知県名古屋市緑区忠治山201番地
namcoイオンモール大高,愛知県名古屋市緑区南大高2-450イオン大高3階
SOYU BREMEN TOWN 鳴海,愛知県名古屋市緑区鳴海町字伝治山39 アピタ鳴海店2F
ラウンドワン鳴海,愛知県名古屋市緑区鳴海町杜若28
プラサカプコン徳重,愛知県名古屋市緑区鳴海町徳重18-44ヒルズウォーク徳重
ドリームキャンディ,三重県伊賀市小田町711-1
セガ伊勢,三重県伊勢市中須町666
楽市楽座イオンモール東員,三重県員弁郡東員町大字長深字築田510-1
セガワールド桑名,三重県桑名市大仲新田宮前158
ラウンドワンみえ川越インターチェンジ,三重県三重郡川越町南福崎851-1
プレビ ララスクエア四日市,三重県四日市市安島1-3-31 ララスクエア5階
セガ生桑,三重県四日市市生桑町字川原崎299-1
YAZワールド四日市,三重県四日市市泊小柳町4-34
ゲームチャオ松阪,三重県松阪市船江町780
クラブセガアドバンスモール松阪,三重県松阪市田村町235-1
セガワールド久居,三重県津市久居明神町字風早2534-1
ラウンドワン津・高茶屋,三重県津市高茶屋小森町277-8
クラブセガ名張,三重県名張市希央台3番地15
ゲームチャオ名張,三重県名張市蔵持町原出773-1
ナムコランドイオンモール鈴鹿,三重県鈴鹿市庄野羽山4-1-2イオンモール鈴鹿2F
アピナ鈴鹿,三重県鈴鹿市庄野羽山4-20-1イオンタウン鈴鹿2階
アミパラ鈴鹿,三重県鈴鹿市西条町字東澤430-1
エースレーン愛知川,滋賀県愛知郡愛荘町長野200
エースレーン近江八幡,滋賀県近江八幡市出町736アクトビル1F
タイトーFステーションイオン近江八幡,滋賀県近江八幡市鷹飼町南3-7 1階
セガ甲西,滋賀県湖南市夏見字二ツ橋356-1
エースレーン守山,滋賀県守山市播磨田町231-4ACT守山3番館内
ゲームランド草津,滋賀県草津市新浜町300番地イオンモール草津3階
セガエイスクエア草津,滋賀県草津市西渋川1-23-23エイスクエアSARA南館2階
滋賀レジャーランド大津,滋賀県大津市におの浜3-1-43 イオンタウンアヤハプラザ内
エースレーン堅田,滋賀県大津市今堅田2-40-10
ラウンドワン浜大津アーカス,滋賀県大津市浜町2-1浜大津アーカス内
ゲームディーノ彦根,滋賀県彦根市西沼波町166
namcoビバシティ彦根,滋賀県彦根市竹ケ鼻町43-1ビバシティ彦根2F
タカラ島亀岡,京都府亀岡市篠町野条上又11-1アル・プラザ亀岡店3F
プラサカプコン京都,京都府京都市右京区西院追分町25-1イオンモール京都五条3F
ラウンドワン京都河原町,京都府京都市中京区河原町通三条下ル山崎町250
ゲームパニック京都,京都府京都市中京区桜之町415番 京都松竹座ビル
プレイランドキング円町,京都府京都市中京区西ノ京西円町40
THE 3RD PLANET BiVi京都二条,京都府京都市中京区西ノ京栂尾町107
楽市楽座イオンモール京都桂川,京都府京都市南区久世高田町376-1イオンモール京都桂川店3階
namcoイオンモールKYOTO,京都府京都市南区西九条鳥居口町1イオンモールKYOTO SAKURA館4階
ラウンドワン京都伏見,京都府京都市伏見区下鳥羽平塚町131
セガワールド六地蔵,京都府京都市伏見区桃山町山ノ下32京都SCビルAM棟2F
パルケ上賀茂,京都府京都市北区上賀茂西河原1-1
バザールタウン舞鶴キッズワールド,京都府舞鶴市伊佐津200-5
あそVIVAゲームセンター,京都府福知山市字堀小字下高田2146-1
ゲームディーノ阪急茨木,大阪府茨木市永代町5 ソシオビルB1
あそVIVA阪急茨木,大阪府茨木市永代町6−2スポーツプラザ茨木2F
ラウンドワン岸和田,大阪府岸和田市八阪町2-11-1
ラウンドワン高槻,大阪府高槻市辻子3-6-4
ラウンドワン堺駅前,大阪府堺市堺区戎島町4-44-3
ゲームパニック堺,大阪府堺市堺区築港八幡町1番地堺浜シーサイドステージ内堺浜エンタメ館
SOYU GAME FIELD堺鉄砲町,大阪府堺市堺区鉄砲町1番地イオンモール堺鉄砲町3F
ナムコランド鳳,大阪府堺市西区鳳南町3-199-12アリオ鳳3F
ラウンドワン堺中央環状,大阪府堺市東区石原町2-241
セガワールド松原,大阪府堺市東区八下町3-10
スポーツセンター 21世紀,大阪府堺市南区岩室108-1
ラウンドワン泉北,大阪府堺市南区原山台1-14-2
楽市楽座イオンモール四條畷,大阪府四條畷市砂4-3-2イオンモール四條畷店3F
ラウンドワン守口,大阪府守口市佐太東町2-6-14ジャガーグリーン2F
namcoイオンモール大日,大阪府守口市大日東町1番地18号イオンモール大日4階
ゲーム フェイス 松原,大阪府松原市大堀1-1-9
モンキートリック,大阪府寝屋川市香里南之町32-5 YNレジデンス香里2F
セガビバモール寝屋川,大阪府寝屋川市寝屋南2-22-2ビバモール寝屋川 モール棟2F
YAZ寝屋川,大阪府寝屋川市石津中町25-26
関大前フタバボウル,大阪府吹田市千里山東1-7-18
ENTERTAINMENT FIELD ららぽーとEXPOCITY,大阪府吹田市千里万博公園2-1ららぽーとEXPOCITY3F
タイトーFステーションりんくうシークル,大阪府泉佐野市りんくう往来南3
フタバボウル泉大津,大阪府泉大津市松之浜町1-2-53
ソユーゲームフィールド泉南,大阪府泉南市りんくう南浜3番12イオンモールりんくう泉南2F
ストライクス,大阪府泉南市馬場778
タイトーFステーションあべのアポロ,大阪府大阪市阿倍野区阿倍野筋1-5-1 きんえいアポロビル4F
セガワールドアポロ,大阪府大阪市阿倍野区阿倍野筋1-5-31 アポロビル3F
セガあべのキューズモール,大阪府大阪市阿倍野区阿倍野筋1-6-1キューズモール3FQ-332
G-palaあべの,大阪府大阪市阿倍野区阿倍野筋3-10-1あべのベルタ2F
namcoマグスミノエ,大阪府大阪市住之江区泉1-1-82マグスミノエ1F
セガ今福,大阪府大阪市城東区今福東1-9-34
ラウンドワン城東放出,大阪府大阪市城東区今福南3-4-38
楽市楽座イオンモール大阪ドーム,大阪府大阪市西区千代崎3-13-1
ラウンドワン千日前,大阪府大阪市中央区難波1-3-1
タイトーステーション 難波,大阪府大阪市中央区難波千日前15-12
ラウンドワン東淀川,大阪府大阪市東淀川区菅原7-14-28
namco梅田,大阪府大阪市北区小松原町3-3OSビル1~3F
ラウンドワン梅田,大阪府大阪市北区小松原町4-16
アミュージアム茶屋町,大阪府大阪市北区茶屋町15-34
クラブセガ東梅田,大阪府大阪市北区堂山町9-28
セガミスト２,大阪府大阪市北区梅田1-11-4 駅前第4ビルB1F
タイトーステーション梅三小路,大阪府大阪市北区梅田3-2-136梅三小路内
