『艦これアーケード』オリジナルグッズキャンペーン第伍弾 参加店舗一覧,2024.6.10,2024年6月13日(木) ～ 2024年8月4日(日)
"岐阜県","岐阜レジャーランド穂積店","岐阜県瑞穂市稲里630番地"
"岐阜県","ＧｉＧＯ高山","岐阜県高山市上岡本町７−７"
"岐阜県","Ａ．Ｃ．グランド","岐阜県岐阜市茜部大川1-77"
"岐阜県","ＧｉＧＯマーゴ関","岐阜県関市倉知５１６"
"岐阜県","ゲームピコ鵜沼店","岐阜県各務原市鵜沼西町３丁目３０９　イオンタウン各務原鵜沼内"
"岐阜県","オリエンタルバッティング可児店","岐阜県可児市今渡６９５−１"
"静岡県","ラウンドワン富士店","静岡県富士市八代町４−１５"
"静岡県","サープラ富士あそびタウン","静岡県富士市永田町２−９４"
"静岡県","ラウンドワン浜松店","静岡県浜松市中央区天王町諏訪１９８１−１７"
"静岡県","ポート２４浜松店","静岡県浜松市中央区坪井町4183-1"
"静岡県","サープラＯＺ浜松あそびタウン","静岡県浜松市中央区宮竹町３２２−１"
"静岡県","アピナ浜松店","静岡県浜松市中央区葵西２−２７−１０"
"静岡県","THE3RDPLANET島田店","静岡県島田市中溝町2531"
"静岡県","ＧｉＧＯ袋井","静岡県袋井市川井１１４２−１"
"静岡県","ゲームインプリンス","静岡県静岡市清水区天神1-2-6"
"静岡県","ラウンドワン静岡・駿河店","静岡県静岡市駿河区手越７５"
"静岡県","ＧｉＧＯ静岡","静岡県静岡市葵区七間町４番地"
"静岡県","タイトーＦステーション静岡","静岡県静岡市葵区呉服町２−５−４　ふしみや第２ビル"
"静岡県","アップル新北街道店","静岡県静岡市葵区沓谷5-13-4"
"静岡県","THE3RDPLANET焼津店","静岡県焼津市八楠3-18-5"
"静岡県","アピナ焼津店","静岡県焼津市道原５８５"
"静岡県","アップルグランリバー大井川店","静岡県焼津市下江留１３２７"
"静岡県","サープラ沼津あそびタウン","静岡県沼津市大手町１−１−５"
"静岡県","ＧｉＧＯサントムーン柿田川","静岡県駿東郡清水町玉川６１−２サントムーン柿田川２Ｆ"
"静岡県","ＧｉＧＯ掛川","静岡県掛川市細田２４８"
"愛知県","ラウンドワン鳴海店","愛知県名古屋市緑区鳴海町杜若２８"
"愛知県","ゲームパニック大高","愛知県名古屋市緑区忠治山２０１番地"
"愛知県","ファンタジープラザ名古屋","愛知県名古屋市北区玄馬町２３４−１ﾄﾞﾝｷﾎｰﾃ名古屋本店２階"
"愛知県","ＧｉＧＯ金山","愛知県名古屋市熱田区金山１−１９ー２"
"愛知県","名古屋レジャーランド内田橋店","愛知県名古屋市南区内田橋2-26-22"
"愛知県","コムテックタワー","愛知県名古屋市中村区名駅４−１０−２０"
"愛知県","ＧｉＧＯマーケットスクエアささしま","愛知県名古屋市中村区平池町４丁目６０番地１４号"
"愛知県","ラウンドワン中川１号線店","愛知県名古屋市中川区法蔵町２−２３"
"愛知県","タイトーステーションフェドラ大須店","愛知県名古屋市中区大須３−３０−３１"
"愛知県","コムテックスクウェア","愛知県名古屋市中区金山1-16-8"
"愛知県","ゲームキングジョイ","愛知県名古屋市中区栄3-3-32"
"愛知県","ラウンドワン千種店","愛知県名古屋市千種区新栄3-20-17タイホウ千種駅前南ビル8階"
"愛知県","ＧｉＧＯイオンタウン名西","愛知県名古屋市西区香呑町６−４９−１イオンタウン名西２Ｆ"
"愛知県","ファンタジックランド西春店","愛知県北名古屋市鹿田若宮3926-10　ヨシズヤ５階"
"愛知県","ラウンドワン名古屋西春店","愛知県北名古屋市宇福寺神明１５"
"愛知県","ＧｉＧＯ豊田","愛知県豊田市深田町１−６５−１"
"愛知県","M'sPARK豊田店","愛知県豊田市寿町３−２１、２２"
"愛知県","豊川メトロポリス","愛知県豊川市下長山町上アライ１４−１"
"愛知県","ＧｉＧＯ豊橋飯村","愛知県豊橋市飯村町字西山２５−１２１"
"愛知県","ラウンドワン豊橋店","愛知県豊橋市大岩町字岩田２７−２"
"愛知県","ラウンドワン半田店","愛知県半田市瑞穂町６−７−８"
"愛知県","半田メトロポリス","愛知県半田市旭町３−１１−１"
"愛知県","アミューズメントプラザワイド","愛知県東海市名和町二番割上16-2"
"愛知県","ユーズランド東浦店","愛知県知多郡東浦町緒川旭１３−２イオンモール東浦２Ｆ"
"愛知県","ＧｉＧＯ東名ボール","愛知県瀬戸市西原町２−１１４"
"愛知県","アミューズメントワールドメトロポリス小牧","愛知県小牧市村中新町３３"
"愛知県","ＡＤＸマミー出川店","愛知県春日井市不二ヶ丘１丁目５番地"
"愛知県","ＧｉＧＯ春日井","愛知県春日井市岩野町４１８０"
"愛知県","ＧｉＧＯイオンタウン刈谷","愛知県刈谷市東境町京和１"
"愛知県","アミューズメントプラザ　マルシン","愛知県刈谷市池田町4-609"
"愛知県","M'sPARK刈谷店","愛知県刈谷市稲場町３−２０６"
"愛知県","ポート２４幸田店","愛知県額田郡幸田町相見沖原1-3"
"愛知県","ＧｉＧＯ岡崎","愛知県岡崎市上地３−５０−４"
"愛知県","ゲームランド岡崎店","愛知県岡崎市戸崎町字外山３８−５イオンモール岡崎　シネコン棟"
"愛知県","ＡＤＸマミー岡崎店","愛知県岡崎市井田新町６−１"
"愛知県","ＧｉＧＯ尾西","愛知県一宮市篭屋３−９−７アソビックスびさい１Ｆ"
"愛知県","安城メトロポリス","愛知県安城市浜富町６−８"
"愛知県","ＧｉＧＯ安城","愛知県安城市百石町２−３５−１３"
"三重県","アミパラ鈴鹿店","三重県鈴鹿市西条町字東澤430-1"
"三重県","アピナ鈴鹿店","三重県鈴鹿市庄野羽山4-20-1イオンタウン鈴鹿2階"
"三重県","ＧｉＧＯ名張","三重県名張市希央台３番地１５"
"三重県","ラウンドワン津・高茶屋店","三重県津市高茶屋小森町２７７−８"
"三重県","ＧｉＧＯ久居","三重県津市久居明神町字風早２５３４−１"
"三重県","ＧｉＧＯアドバンスモール松阪","三重県松阪市田村町２３５−１"
"三重県","アピナ四日市店","三重県四日市市泊小柳町４−３４"
"三重県","ＧｉＧＯ生桑","三重県四日市市生桑町字川原崎２９９−１"
"三重県","プレビ　トナリエ四日市","三重県四日市市安島１−３−３１トナリエ５階"
"三重県","ラウンドワンみえ川越インターチェンジ店","三重県三重郡川越町南福崎８５１−１"
"三重県","ＧｉＧＯ桑名","三重県桑名市大仲新田宮前１５８"
"三重県","ＧｉＧＯ伊勢","三重県伊勢市中須町６６６"
"三重県","ドリームキャンディ","三重県伊賀市小田町７１１−１"
"滋賀県","ゲームディーノ彦根店","滋賀県彦根市西沼波町１６６"
"滋賀県","ラウンドワン浜大津アーカス店","滋賀県大津市浜町２−１浜大津アーカス内"
"滋賀県","エースレーン堅田","滋賀県大津市今堅田２−４０−１０"
"滋賀県","滋賀レジャーランド大津店","滋賀県大津市におの浜３−１−４３　イオンタウンアヤハプラザ内"
"滋賀県","ＧｉＧＯエイスクエア草津","滋賀県草津市西渋川１−２３−２３エイスクエアＳＡＲＡ南館２階"
"滋賀県","ＧｉＧＯ甲西","滋賀県湖南市夏見字二ツ橋３５６−１"
"滋賀県","タイトーＦステーションイオン近江八幡店","滋賀県近江八幡市鷹飼町南３−７　１階"
"滋賀県","エースレーン愛知川","滋賀県愛知郡愛荘町長野２００"
"京都府","あそＶＩＶＡゲームセンター","京都府福知山市字堀小字上高田２１４６−１"
"京都府","ｎａｍｃｏらぽーる店","京都府舞鶴市南浜町２７−５らぽーる３Ｆ"
"京都府","パルケ上賀茂店","京都府京都市北区上賀茂西河原１−１"
"京都府","ＧｉＧＯＭＯＭＯテラス京都伏見","京都府京都市伏見区桃山町山ノ下３２京都ＳＣビルＡＭ棟２Ｆ"
"京都府","ラウンドワン京都伏見店","京都府京都市伏見区下鳥羽平塚町１３１"
"京都府","ｎａｍｃｏイオンモールＫＹＯＴＯ店","京都府京都市南区西九条鳥居口町1ｲｵﾝﾓｰﾙKYOTOSAKURA館4階"
"京都府","サープラ京都あそびタウン","京都府京都市中京区西ノ京栂尾町１０７"
"京都府","ネオＡＭスペースａ−ｃｈｏ","京都府京都市中京区寺町通四条上る東大文字町３０２−３０３"
"京都府","ラウンドワン京都河原町店","京都府京都市中京区河原町通三条下ル山崎町２５０"
"大阪府","ＧｉＧＯ和泉","大阪府和泉市肥子町２−４−４１"
"大阪府","ＧｉＧＯ枚方","大阪府枚方市須山町８３−１サンシャインプラザ枚方内"
"大阪府","ラウンドワン枚方店","大阪府枚方市高野道１−２０−２０"
"大阪府","ラウンドワン豊中店","大阪府豊中市名神口１−１−１"
"大阪府","ＧｉＧＯ新三国アルゴ７","大阪府豊中市神州町１−１５"
"大阪府","ゲームフェイス八尾店","大阪府八尾市天王寺屋2-68"
"大阪府","トップラン東大阪店","大阪府東大阪市東鴻池町１−６−３０イオンタウン東大阪店２Ｆ"
"大阪府","ＧｉＧＯ布施","大阪府東大阪市長堂１−１−１ロンモール布施内"
"大阪府","ラウンドワン東大阪店","大阪府東大阪市若江南町１−２−１２"
"大阪府","ＧｉＧＯフレスポ東大阪","大阪府東大阪市稲田新町３−９−６４"
"大阪府","アミパラ大東店","大阪府大東市南新田２丁目３番５号"
"大阪府","タイトーステーション大阪日本橋店","大阪府大阪市浪速区日本橋４−９−１４"
"大阪府","ＧｉＧＯ難波アビオン","大阪府大阪市浪速区難波中２−３−１５　ＭＭＯビルＢ１Ｆ〜３Ｆ"
"大阪府","アテナ日本橋","大阪府大阪市浪速区難波中２−１−２２"
"大阪府","ｎａｍｃｏ大阪日本橋店","大阪府大阪市浪速区難波中2-1-17コスモビル1〜3階"
"大阪府","ＧｉＧＯ大阪第４ビル","大阪府大阪市北区梅田１−１１−４駅前第４ビルＢ１Ｆ"
"大阪府","ＧｉＧＯ東梅田","大阪府大阪市北区堂山町９−２８"
"大阪府","ラウンドワン梅田店","大阪府大阪市北区小松原町４−１６"
"大阪府","ｎａｍｃｏ梅田店","大阪府大阪市北区小松原町３−３ＯＳビル２Ｆ"
"大阪府","ラウンドワン東淀川店","大阪府大阪市東淀川区菅原７−１４−２８"
"大阪府","ゲームポイントシャトーＥＸ","大阪府大阪市都島区東野田町３−９−３"
"大阪府","ラウンドワン千日前店","大阪府大阪市中央区難波１−３−１"
"大阪府","ラウンドワン城東放出店","大阪府大阪市城東区今福南3-4-38"
"大阪府","ＧｉＧＯ今福","大阪府大阪市城東区今福東１−９−３４"
"大阪府","Ｇ−ｐａｌａあべの","大阪府大阪市阿倍野区阿倍野筋３−１０−１あべのベルタ２Ｆ"
"大阪府","天王寺パスカ","大阪府大阪市阿倍野区阿倍野筋２−４−５１"
"大阪府","ＧｉＧＯあべのアポロ３階","大阪府大阪市阿倍野区阿倍野筋１−５−３１アポロビル３Ｆ"
"大阪府","モンキートリック","大阪府寝屋川市香里南之町32-5　YNレジデンス香里2F"
"大阪府","ラウンドワン守口店","大阪府守口市佐太東町２−６−１４ジャガーグリーン２Ｆ"
"大阪府","ラウンドワン堺中央環状店","大阪府堺市東区石原町２−２４１"
"大阪府","ゲームパニック堺","大阪府堺市堺区築港八幡町1番地堺浜ｼｰｻｲﾄﾞｽﾃｰｼﾞ内堺浜ｴﾝﾀﾒ館"
"大阪府","ラウンドワン堺駅前店","大阪府堺市堺区戎島町4-44-3"
"大阪府","ラウンドワン高槻店","大阪府高槻市辻子３−６−４"
"大阪府","ラウンドワン岸和田店","大阪府岸和田市八阪町２−１１−１"
"大阪府","あそＶＩＶＡ阪急茨木店","大阪府茨木市永代町６−２スポーツプラザ茨木２Ｆ"
"大阪府","ゲームディーノ阪急茨木店","大阪府茨木市永代町５ソシオビルＢ１"
"兵庫県","ゲームアイビス太子店","兵庫県揖保郡太子町太田2149"
"兵庫県","ＧｉＧＯ明石","兵庫県明石市魚住町清水２４６４−１"
"兵庫県","ｎａｍｃｏ豊岡店","兵庫県豊岡市中陰字大工６１７３階"
"兵庫県","アピナ姫路店","兵庫県姫路市東郷町１４５４−３姫路リオス２階"
"兵庫県","Ｇ−ｐａｌａ花北店","兵庫県姫路市増位新町１−６　２Ｆ"
"兵庫県","ラウンドワン姫路飾磨店","兵庫県姫路市飾磨区中島１−２５４"
"兵庫県","ＧｉＧＯ姫路駅前","兵庫県姫路市駅前町２５４姫路ＯＳビルＢ１Ｆ"
"兵庫県","ＧｉＧＯつかしん","兵庫県尼崎市塚口本町４−８−１つかしん内"
"兵庫県","ラウンドワンＪＲ尼崎駅前店","兵庫県尼崎市潮江１−４−５プラストいきいき館４階"
"兵庫県","プレイステーションネーブル西宮店","兵庫県西宮市両度町6-10"
"兵庫県","ＧｉＧＯコロワ甲子園","兵庫県西宮市甲子園高潮町３−３Ｃｒｏｗａ甲子園３Ｆ"
"兵庫県","ＧｉＧＯフェニックスプラザ摩耶","兵庫県神戸市灘区味泥町６−１フェニックスプラザ１Ｆ"
"兵庫県","ラウンドワン三宮駅前店","兵庫県神戸市中央区小野柄通6-1-17"
"兵庫県","タイトーＦステーション三宮西館店","兵庫県神戸市中央区三宮町２丁目１１−１センタープラザ西館"
"兵庫県","遊スペースマジカル","兵庫県神戸市中央区琴ノ緒町５−２−３"
"兵庫県","ＡＭスクエアＡＬＧＯ","兵庫県神戸市中央区下山手通1-1-8"
"兵庫県","トップラン","兵庫県神戸市西区岩岡町古郷1474-1"
"兵庫県","アミパラ垂水店","兵庫県神戸市垂水区名谷町字室山１４００−１８"
"兵庫県","アミューズスペースミール","兵庫県三田市対中町５−２１"
"兵庫県","アミパラ加古川店","兵庫県加古川市尾上町今福７１−２"
"兵庫県","遊スペース　スプラ","兵庫県加古川市尾上町安田３５１−１"
"兵庫県","ラウンドワン加古川店","兵庫県加古川市尾上町安田325番6号"
"兵庫県","ラウンドワン伊丹店","兵庫県伊丹市昆陽７丁目２９"
"奈良県","ラウンドワン奈良・ミナーラ店","奈良県奈良市二条大路南１−３−１ミ・ナーラ５階"
"奈良県","アミューズメントＣＵＥ奈良三条店","奈良県奈良市三条町478-1"
"奈良県","アミパラ橿原店","奈良県橿原市十市町1222-1ツインゲート橿原１F"
"和歌山県","ユーズランド和歌山店","和歌山県和歌山市中字楠谷５７３イオンモール和歌山２Ｆ"
"和歌山県","ラウンドワン和歌山店","和歌山県和歌山市小雑賀７３９−３"
"和歌山県","タイトーＦステーション御坊","和歌山県御坊市湯川町財部１８１オークワロマンシティ３Ｆ"
"鳥取県","ＧｉＧＯ米子","鳥取県米子市両三柳２７７８−２"
"鳥取県","アミパラがいな店","鳥取県米子市日ノ出町１−８−１３"
"鳥取県","ＧｉＧＯ鳥取","鳥取県鳥取市安長４１６"
"島根県","ＧｉＧＯ松江","島根県松江市嫁島町１２−１５"
"島根県","ジーパラ出雲","島根県出雲市渡橋町７８４−１"
"岡山県","ＧｉＧＯ倉敷","岡山県倉敷市西中新田５３５−２"
"岡山県","ユーズランド倉敷店","岡山県倉敷市水江１番地イオンモール倉敷２Ｆ"
"岡山県","ファンタジスタ","岡山県倉敷市新倉敷駅前５−１９４"
"岡山県","アミパラテクノランド店","岡山県岡山市北区大和町１−７−１２"
"岡山県","アミパラ岡山店","岡山県岡山市北区青江１丁目１３−８"
"岡山県","ラウンドワン岡山妹尾店","岡山県岡山市南区妹尾３４１３−１"
"岡山県","ＧｉＧＯ岡山藤崎","岡山県岡山市中区藤崎５９９−１２"
"広島県","アミューズメントパークＭＧジアス","広島県福山市柳津町１−７−６０"
"広島県","ラウンドワン福山店","広島県福山市明神町１−９−２８"
"広島県","ＧｉＧＯ福山","広島県福山市瀬戸町大字山北３００"
"広島県","福山メトロポリス","広島県福山市一文字町２４−１"
"広島県","ＧｉＧＯ尾道","広島県尾道市新浜１−２−１３"
"広島県","スペースV1廿日市店","広島県廿日市市本町４−２３"
"広島県","アミパラここじゃ店","広島県東広島市西条町下見６−１０−１９"
"広島県","ラウンドワン広島店","広島県広島市中区立町３−１１"
"広島県","ＧｉＧＯ広島本通","広島県広島市中区本通９−３０ランドマークビル１Ｆ"
"広島県","タイトーステーション広島本通店","広島県広島市中区本通３−５せらかぐ本通ビル"
"広島県","タイトーステーション広島紙屋町店","広島県広島市中区紙屋町２−２−２１"
"広島県","フタバ図書アルティランド","広島県広島市西区草津南４−７−１　アルパーク北棟２Ｆ"
"広島県","アミパラ広島店","広島県広島市西区西観音町3-17"
"広島県","ＧｉＧＯ中筋","広島県広島市安佐南区中筋４−１１−７"
"広島県","ＧｉＧＯ広","広島県呉市広中町１−９"
"広島県","ｎａｍｃｏイオンモール広島府中","広島県安芸郡府中町大須2-1-1イオンモール広島府中3階"
"広島県","ＧｉＧＯ海田","広島県安芸郡海田町南大正町３−３５"
"山口県","ネオブラボー","山口県防府市高倉１−３−３０"
"山口県","ＳＰＥＥＤ","山口県周南市大字久米３２１９"
"山口県","アミパラ周南久米店","山口県周南市大字久米２８３４　イオンタウン周南久米"
"山口県","サープラ山口あそびタウン","山口県山口市湯田温泉６ー８ー３"
"山口県","タイトーＦステーション山口メルクス店","山口県山口市大字黒川８２−１ハイパーモールメルクス内"
"山口県","ＧｉＧＯイオンタウン小郡","山口県山口市小郡前田町３−６イオンタウン小郡内"
"山口県","アミパラ下関店","山口県下関市長府才川１−４２−４８"
"山口県","アレックス","山口県宇部市西宇部南３−５−５３"
"山口県","フレスパランドカッタの湯","山口県宇部市海南町1675"
"徳島県","ラウンドワン徳島・万代店","徳島県徳島市万代町４−１９−１"
"徳島県","ＧｉＧＯスエヒロボウル徳島","徳島県徳島市南末広町４−９５−２"
"香川県","マックスプラザ善通寺","香川県善通寺市中村町１７９８−２"
"香川県","ＧｉＧＯ高松","香川県高松市勅使町５３５"
"香川県","ラウンドワン高松店","香川県高松市松島町２−７−４３"
"香川県","ＧｉＧＯ丸亀","香川県丸亀市蓬莱町５６−１"
"愛媛県","ＧｉＧＯ新居浜","愛媛県新居浜市徳常町６−８"
"愛媛県","プレイドーム松山","愛媛県松山市余戸南４丁目９−４０"
"愛媛県","ラウンドワン松山店","愛媛県松山市東長戸１−３−１０"
"愛媛県","ＧｉＧＯ松山","愛媛県松山市枝松５−７−３２"
"愛媛県","アミューズメントパークＭＧキスケ","愛媛県松山市宮田町４　キスケボックス内１階"
"愛媛県","宮西スタジアム２","愛媛県松山市宮西二丁目４の４１"
"愛媛県","アミューズメントパークＭＧ伊予三島","愛媛県四国中央市中之庄町７５−１　アイランド三島内"
"高知県","アミパラ高知店","高知県南国市篠原１９４−１"
"高知県","ラウンドワン高知店","高知県高知市南宝永町４−１２"
"福岡県","Ｇ−ＳＴＡＧＥ小倉","福岡県北九州市小倉北区浅野2-14-5あるあるCITY2階"
"福岡県","小倉メトロポリス","福岡県北九州市小倉北区西港町２７−５"
"福岡県","ラウンドワン小倉店","福岡県北九州市小倉北区西港町15-65"
"福岡県","Ｇ−ｐａｌａ小倉","福岡県北九州市小倉南区上葛原1−14−1"
"福岡県","PEP魚町","福岡県北九州市小倉北区魚町２－４－２０"
"福岡県","ラウンドワン博多半道橋店","福岡県福岡市博多区半道橋２−２−８"
"福岡県","ｎａｍｃｏ博多バスターミナル店","福岡県福岡市博多区博多駅中央街２−１博多バスターミナル７階"
"福岡県","ＧｉＧＯ福岡天神","福岡県福岡市中央区天神２−７−６ＤＡＤＡビル"
"福岡県","タイトーステーション福岡天神店","福岡県福岡市中央区天神２−６−３５サザンクロスビル"
"福岡県","ラウンドワン福岡天神店","福岡県福岡市中央区天神２−６−１２"
"福岡県","ＧｉＧＯ中間","福岡県中間市上蓮花寺３−１−１"
"福岡県","ラウンドワン大野城店","福岡県大野城市御笠川１−１８−１６"
"福岡県","サープラ新宮あそびタウン","福岡県糟屋郡新宮町美咲３−１−４０新宮ドーム１Ｆ"
"福岡県","遊道楽新合川店","福岡県久留米市新合川1丁目6-7"
"佐賀県","ＧｉＧＯ武雄","佐賀県武雄市武雄町富岡１２５１７−１"
"佐賀県","サンゲーム鳥栖店","佐賀県鳥栖市元町1353-1"
"佐賀県","ラウンドワン佐賀店","佐賀県佐賀市兵庫北４−２−１"
"佐賀県","ｎａｍｃｏモラージュ佐賀店","佐賀県佐賀市巨勢町大字牛島７３０モラージュ佐賀南館１Ｆ"
"佐賀県","遊道楽嘉瀬店","佐賀県佐賀市嘉瀬町中原２４８８−１"
"長崎県","ＧｉＧＯ諫早","長崎県諫早市小川町９０−１"
"長崎県","G-stage浜町","長崎県長崎市浜町2-26"
"長崎県","Ｇ−ｐａｌａ時津","長崎県西彼杵郡時津町野田郷５９号"
"長崎県","アミパラ佐世保店","長崎県佐世保市大塔町１８−１５"
"熊本県","サープラ荒尾あそびタウン","熊本県荒尾市原万田７００−１"
"熊本県","スポラ九品寺","熊本県熊本市中央区九品寺5丁目10-15"
"熊本県","ラウンドワン熊本店","熊本県熊本市西区春日7-25-15"
"熊本県","スポラ菊陽","熊本県菊池郡菊陽町津久礼駄飼代２６１７−２"
"大分県","ＧｉＧＯ別府","大分県別府市餅ヶ浜町１６１−２"
"大分県","Ｇ−ｐａｌａ日田","大分県日田市友田997-1"
"大分県","トライセン中津店","大分県中津市下池永６７−３"
"大分県","ＧｉＧＯ中津","大分県中津市沖代町１−２−１６"
"大分県","ＧｉＧＯ高城","大分県大分市牧１−１６１−８"
"大分県","トライセン萩原","大分県大分市萩原４−２２７−７"
"大分県","ラウンドワン大分店","大分県大分市萩原２−１３−１７"
"宮崎県","ラウンドワン宮崎店","宮崎県宮崎市中村東３−４−６０"
"宮崎県","ＧｉＧＯ延岡","宮崎県延岡市平原町５−１４９２−８"
"鹿児島県","タイトーＦステーションニシムタ出水店","鹿児島県出水市六月田町３４７番地"
"鹿児島県","ゲームセンター電撃ベイサイド","鹿児島県鹿児島市浜町2-2"
"鹿児島県","ラウンドワン鹿児島宇宿店","鹿児島県鹿児島市宇宿2-2-2"
"沖縄県","ラウンドワン沖縄・南風原店","沖縄県島尻郡南風原町字兼城５５２番地"
"沖縄県","ＧｉＧＯ北谷","沖縄県中頭郡北谷町美浜９−８"
"沖縄県","ラウンドワン沖縄・宜野湾店","沖縄県宜野湾市真志喜３−２８−８"
